device_id,timestamp,temp_c,voltage
dev-a03,2026-07-28T09:00:00+09:00,84.1,3.93
dev-a03,2026-07-28T09:15:00+09:00,83.3,3.95
dev-a03,2026-07-28T09:30:00+09:00,83.0,3.95
dev-a03,2026-07-28T09:45:00+09:00,82.1,3.91
dev-a03,2026-07-28T10:00:00+09:00,81.5,3.91
dev-a03,2026-07-28T10:15:00+09:00,81.1,3.95
dev-a03,2026-07-28T10:30:00+09:00,80.5,3.89
dev-a03,2026-07-28T10:45:00+09:00,79.6,3.95
dev-a03,2026-07-28T11:00:00+09:00,79.3,3.90
dev-a03,2026-07-28T11:15:00+09:00,78.5,3.95
dev-a03,2026-07-28T11:30:00+09:00,78.2,3.92
dev-a03,2026-07-28T11:45:00+09:00,77.3,3.90
dev-a03,2026-07-28T12:00:00+09:00,76.6,3.91
dev-a03,2026-07-28T12:15:00+09:00,76.3,3.94
dev-a03,2026-07-28T12:30:00+09:00,75.5,3.92
dev-a03,2026-07-28T12:45:00+09:00,74.9,3.95
dev-a03,2026-07-28T13:00:00+09:00,74.6,3.92
dev-a03,2026-07-28T13:15:00+09:00,73.9,3.90
dev-a03,2026-07-28T13:30:00+09:00,73.1,3.91
dev-a03,2026-07-28T13:45:00+09:00,72.4,3.92
dev-a03,2026-07-28T14:00:00+09:00,72.2,3.93
dev-a03,2026-07-28T14:15:00+09:00,71.4,3.91
dev-a03,2026-07-28T14:30:00+09:00,70.7,3.90
dev-a03,2026-07-28T14:45:00+09:00,70.2,3.90
dev-a04,2026-07-28T09:00:00+09:00,86.5,3.87
dev-a04,2026-07-28T09:15:00+09:00,86.7,3.86
dev-a04,2026-07-28T09:30:00+09:00,86.6,3.88
dev-a04,2026-07-28T09:45:00+09:00,86.8,3.87
dev-a04,2026-07-28T10:00:00+09:00,86.7,3.88
dev-a04,2026-07-28T10:15:00+09:00,86.9,3.86
dev-a04,2026-07-28T10:30:00+09:00,87.0,3.86
dev-a04,2026-07-28T10:45:00+09:00,86.9,3.86
dev-a04,2026-07-28T11:00:00+09:00,86.9,3.85
dev-a04,2026-07-28T11:15:00+09:00,87.1,3.87
dev-a04,2026-07-28T11:30:00+09:00,87.1,3.85
dev-a04,2026-07-28T11:45:00+09:00,86.9,3.82
dev-a04,2026-07-28T12:00:00+09:00,86.9,3.83
dev-a04,2026-07-28T12:15:00+09:00,87.2,3.84
dev-a04,2026-07-28T12:30:00+09:00,87.1,3.83
dev-a04,2026-07-28T12:45:00+09:00,87.4,3.84
dev-a04,2026-07-28T13:00:00+09:00,87.3,3.85
dev-a04,2026-07-28T13:15:00+09:00,87.3,3.83
dev-a04,2026-07-28T13:30:00+09:00,87.5,3.87
dev-a04,2026-07-28T13:45:00+09:00,87.3,3.83
dev-a04,2026-07-28T14:00:00+09:00,87.5,3.84
dev-a04,2026-07-28T14:15:00+09:00,87.5,3.84
dev-a04,2026-07-28T14:30:00+09:00,87.7,3.87
dev-a04,2026-07-28T14:45:00+09:00,87.5,3.86
dev-a05,2026-07-28T09:00:00+09:00,72.0,3.44
dev-a05,2026-07-28T09:15:00+09:00,72.1,3.41
dev-a05,2026-07-28T09:30:00+09:00,72.1,3.41
dev-a05,2026-07-28T09:45:00+09:00,71.9,3.44
dev-a05,2026-07-28T10:00:00+09:00,71.9,3.39
dev-a05,2026-07-28T10:15:00+09:00,72.0,3.45
dev-a05,2026-07-28T10:30:00+09:00,72.4,3.44
dev-a05,2026-07-28T10:45:00+09:00,72.2,3.43
dev-a05,2026-07-28T11:00:00+09:00,72.0,3.44
dev-a05,2026-07-28T11:15:00+09:00,72.2,3.41
dev-a05,2026-07-28T11:30:00+09:00,72.0,3.39
dev-a05,2026-07-28T11:45:00+09:00,72.1,3.40
dev-a05,2026-07-28T12:00:00+09:00,72.2,3.40
dev-a05,2026-07-28T12:15:00+09:00,72.0,3.41
dev-a05,2026-07-28T12:30:00+09:00,72.1,3.41
dev-a05,2026-07-28T12:45:00+09:00,72.5,3.45
dev-a05,2026-07-28T13:00:00+09:00,72.1,3.42
dev-a05,2026-07-28T13:15:00+09:00,72.6,3.41
dev-a05,2026-07-28T13:30:00+09:00,72.6,3.42
dev-a05,2026-07-28T13:45:00+09:00,72.4,3.39
dev-a05,2026-07-28T14:00:00+09:00,72.3,3.40
dev-a05,2026-07-28T14:15:00+09:00,72.4,3.43
dev-a05,2026-07-28T14:30:00+09:00,72.2,3.40
dev-a05,2026-07-28T14:45:00+09:00,72.3,3.42
dev-a06,2026-07-28T09:00:00+09:00,68.1,3.97
dev-a06,2026-07-28T09:15:00+09:00,68.0,3.94
dev-a06,2026-07-28T09:30:00+09:00,68.1,3.93
dev-a06,2026-07-28T09:45:00+09:00,68.4,3.94
dev-a06,2026-07-28T10:00:00+09:00,68.6,3.98
dev-a06,2026-07-28T10:15:00+09:00,,3.97
dev-a06,2026-07-28T10:30:00+09:00,68.8,3.94
dev-a06,2026-07-28T10:45:00+09:00,68.6,3.92
dev-a06,2026-07-28T11:00:00+09:00,68.6,3.97
dev-a06,2026-07-28T11:15:00+09:00,68.9,3.94
dev-a06,2026-07-28T11:30:00+09:00,68.9,3.98
dev-a06,2026-07-28T11:45:00+09:00,,3.95
dev-a06,2026-07-28T12:00:00+09:00,69.1,3.97
dev-a06,2026-07-28T12:15:00+09:00,69.2,3.96
dev-a06,2026-07-28T12:30:00+09:00,69.6,3.95
dev-a06,2026-07-28T12:45:00+09:00,69.3,3.93
dev-a06,2026-07-28T13:00:00+09:00,69.6,3.96
dev-a06,2026-07-28T13:15:00+09:00,,3.96
dev-a06,2026-07-28T13:30:00+09:00,69.6,3.94
dev-a06,2026-07-28T13:45:00+09:00,69.9,3.92
dev-a06,2026-07-28T14:00:00+09:00,69.8,3.97
dev-a06,2026-07-28T14:15:00+09:00,70.2,3.95
dev-a06,2026-07-28T14:30:00+09:00,70.4,3.95
dev-a06,2026-07-28T14:45:00+09:00,70.5,3.96
dev-a07,2026-07-28T09:00:00+09:00,66.2,3.80
dev-a07,2026-07-28T09:15:00+09:00,66.4,3.80
dev-a07,2026-07-28T09:30:00+09:00,67.5,3.78
dev-a07,2026-07-28T09:45:00+09:00,67.7,3.78
dev-a07,2026-07-28T10:00:00+09:00,68.3,3.78
dev-a07,2026-07-28T10:15:00+09:00,68.9,3.79
dev-a07,2026-07-28T10:30:00+09:00,69.9,3.78
dev-a07,2026-07-28T10:45:00+09:00,70.5,3.79
dev-a07,2026-07-28T11:00:00+09:00,71.1,3.82
dev-a07,2026-07-28T11:15:00+09:00,71.7,3.77
dev-a07,2026-07-28T11:30:00+09:00,72.2,3.83
dev-a07,2026-07-28T11:45:00+09:00,72.6,3.81
dev-a07,2026-07-28T12:00:00+09:00,73.6,3.83
dev-a07,2026-07-28T12:15:00+09:00,73.9,3.78
dev-a07,2026-07-28T12:30:00+09:00,74.6,3.81
dev-a07,2026-07-28T12:45:00+09:00,75.2,3.81
dev-a07,2026-07-28T13:00:00+09:00,75.7,3.78
dev-a07,2026-07-28T13:15:00+09:00,76.5,3.77
dev-a07,2026-07-28T13:30:00+09:00,77.4,3.82
dev-a07,2026-07-28T13:45:00+09:00,77.6,3.81
dev-a07,2026-07-28T14:00:00+09:00,78.4,3.79
dev-a07,2026-07-28T14:15:00+09:00,78.8,3.82
dev-a07,2026-07-28T14:30:00+09:00,79.8,3.81
dev-a07,2026-07-28T14:45:00+09:00,80.1,3.78
dev-a08,2026-07-28T09:00:00+09:00,72.6,3.89
dev-a08,2026-07-28T09:15:00+09:00,72.6,3.89
dev-a08,2026-07-28T09:30:00+09:00,76.1,3.87
dev-a08,2026-07-28T09:45:00+09:00,76.1,3.87
dev-a08,2026-07-28T10:00:00+09:00,75.4,3.85
dev-a08,2026-07-28T10:15:00+09:00,72.8,3.89
dev-a08,2026-07-28T10:30:00+09:00,71.8,3.89
dev-a08,2026-07-28T10:45:00+09:00,72.4,3.90
dev-a08,2026-07-28T11:00:00+09:00,73.4,3.85
dev-a08,2026-07-28T11:15:00+09:00,76.0,3.85
dev-a08,2026-07-28T11:30:00+09:00,73.5,3.90
dev-a08,2026-07-28T11:45:00+09:00,72.7,3.89
dev-a08,2026-07-28T12:00:00+09:00,74.7,3.86
dev-a08,2026-07-28T12:15:00+09:00,72.4,3.87
dev-a08,2026-07-28T12:30:00+09:00,76.0,3.88
dev-a08,2026-07-28T12:45:00+09:00,76.1,3.85
dev-a08,2026-07-28T13:00:00+09:00,73.6,3.89
dev-a08,2026-07-28T13:15:00+09:00,74.4,3.85
dev-a08,2026-07-28T13:30:00+09:00,73.3,3.87
dev-a08,2026-07-28T13:45:00+09:00,74.5,3.88
dev-a08,2026-07-28T14:00:00+09:00,74.9,3.90
dev-a08,2026-07-28T14:15:00+09:00,72.8,3.89
dev-a08,2026-07-28T14:30:00+09:00,72.4,3.88
dev-a08,2026-07-28T14:45:00+09:00,73.2,3.87
